day;hour;seller_member_name;imps_matched
11/8/2018;11/8/2018 16:00;FreeWheel SSP (3053);3022
11/8/2018;11/8/2018 17:00;FreeWheel SSP (3053);3045
11/8/2018;11/8/2018 18:00;FreeWheel SSP (3053);4096
11/8/2018;11/8/2018 19:00;FreeWheel SSP (3053);5982
11/8/2018;11/8/2018 20:00;FreeWheel SSP (3053);5950
11/8/2018;11/8/2018 21:00;FreeWheel SSP (3053);4938
11/8/2018;11/8/2018 22:00;FreeWheel SSP (3053);3986
11/8/2018;11/8/2018 23:00;FreeWheel SSP (3053);2594
11/9/2018;11/9/2018 0:00;FreeWheel SSP (3053);1459
11/9/2018;11/9/2018 1:00;FreeWheel SSP (3053);785
11/9/2018;11/9/2018 2:00;FreeWheel SSP (3053);440
11/9/2018;11/9/2018 3:00;FreeWheel SSP (3053);322
11/9/2018;11/9/2018 4:00;FreeWheel SSP (3053);308
11/9/2018;11/9/2018 5:00;FreeWheel SSP (3053);516
11/9/2018;11/9/2018 6:00;FreeWheel SSP (3053);1128
11/9/2018;11/9/2018 7:00;FreeWheel SSP (3053);1870
11/9/2018;11/9/2018 8:00;FreeWheel SSP (3053);2737
11/9/2018;11/9/2018 9:00;FreeWheel SSP (3053);1501
11/9/2018;11/9/2018 10:00;FreeWheel SSP (3053);3519
11/9/2018;11/9/2018 11:00;FreeWheel SSP (3053);3712
11/9/2018;11/9/2018 12:00;FreeWheel SSP (3053);4186
11/9/2018;11/9/2018 13:00;FreeWheel SSP (3053);3897
11/9/2018;11/9/2018 14:00;FreeWheel SSP (3053);3254
11/9/2018;11/9/2018 15:00;FreeWheel SSP (3053);3124
11/9/2018;11/9/2018 16:00;FreeWheel SSP (3053);3623
11/9/2018;11/9/2018 17:00;FreeWheel SSP (3053);4116
11/9/2018;11/9/2018 18:00;FreeWheel SSP (3053);4112
11/9/2018;11/9/2018 19:00;FreeWheel SSP (3053);6970
11/9/2018;11/9/2018 20:00;FreeWheel SSP (3053);4941
11/9/2018;11/9/2018 21:00;FreeWheel SSP (3053);3966
11/9/2018;11/9/2018 22:00;FreeWheel SSP (3053);3564
11/9/2018;11/9/2018 23:00;FreeWheel SSP (3053);2804
11/10/2018;11/10/2018 0:00;FreeWheel SSP (3053);1515
